parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/طريقة-عمل-الكبة-المشوية/,http://www.mamaslebanesekitchen.com/meats/lebanese-grilled-kibbe-recipe-kibbeh-mishwiyyeh/#sthash.cZpYXwrh.dpbs,1,external,406
https://weziwezi.com/طريقة-عمل-مربى-السفرجل/,http://www.thekitchn.com/how-to-make-basic-fruit-jam-cooking-lessons-from-the-kitchn-193560,1,external,403
https://weziwezi.com/طريقة-عمل-الفول-باللبن/,http://www.talkingtonelly.com/eating-beans-the-coastarian-way-maharagwe-ya-nazi-beans-in-coconut-milk-recipe/,:  1 ,external,406
https://weziwezi.com/طريقة-عمل-الفتة-السورية/,https://cookpad.com/sa/%D9%88%D8%B5%D9%81%D8%A7%D8%AA/505833-%D8%B7%D8%B1%D9%8A%D9%82%D8%A9-%D8%B9%D9%85%D9%84-%D9%81%D8%AA%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%AF%D9%88%D8%B3-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D9%87,فتة المكدوس,external,403
https://weziwezi.com/طريقة-طبخ-خيار-البحر/,http://www.infomedia.ma/2016/02/22/206283/%D8%AA%D8%B9%D8%B1%D9%81-%D8%B9%D9%84%D9%89-%D9%81%D9%88%D8%A7%D8%A6%D8%AF-%D8%A7%D9%84%D9%84%D8%AD%D9%88%D9%85-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9,اللحوم البحرية,external,404
https://weziwezi.com/طريقة-عمل-الجندوفلي/,https://weziwezi.com/index.php?title=%D8%B7%D8%B1%D9%8A%D9%82%D8%A9_%D8%B9%D9%85%D9%84_%D8%A7%D9%84%D8%AC%D9%85%D8%A8%D8%B1%D9%8A_%D8%A7%D9%84%D9%85%D8%B4%D9%88%D9%8A&action=edit&redlink=1,"طريقة عمل الجمبري المشوي
",internal,404
https://weziwezi.com/طريقة-عمل-الكانيلون/,https://weziwezi.com/index.php?title=%D8%AD%D9%85%D8%B6-%D8%A7%D9%84%D9%81%D9%88%D9%84%D9%8A%D9%83%22-%D9%81%D9%88%D8%A7%D8%A6%D8%AF-%D9%88-%D8%A3%D8%B9%D8%B1%D8%A7%D8%B6-%D9%86%D9%82%D8%B5-%D8%AD%D9%85%D8%B6-%D8%A7%D9%84%D9%81%D9%88%D9%84%D9%8A%D9%83%22/&action=edit&redlink=1,حمض الفوليك,internal,404
https://weziwezi.com/طريقة-عمل-دبس-رمان/,http://www.simplyrecipes.com/recipes/pomegranate_molasses/,2,external,403
https://weziwezi.com/طريقة-طبخ-الكينوا/,http://www.thekitchn.com/how-to-cook-quinoa-cooking-lessons-from-the-kitchn-63344,1,external,403
https://weziwezi.com/طريقة-عمل-مربى-السفرجل/,https://www.bbcgoodfood.com/howto/guide/how-make-strawberry-jam,2,external,403
