parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/طريقة-استخدام-زيت-الحية-للشعر/,http://feelgoodstyle.com/2015/07/27/snake-oil-for-hair-maybe-not/,1 ,external,403
https://weziwezi.com/أفضل-الفواكه-الصيفية-لبشرة-نقية/,https://www.livescience.com/45057-oranges-nutrition-facts.html,"""Oranges: Facts About the Vibrant Citrus Fruit""",external,403
https://weziwezi.com/ماسك-الجيلاتين-لتفتيح-البشرة/,https://blog.udemy.com/gelatin-face-mask/,1,external,403
https://weziwezi.com/فوائد-فيتامين-أ-للبشرة/,https://www.livescience.com/51975-vitamin-a.html,"""Vitamin A: Sources & Benefits""",external,403
https://weziwezi.com/فوائد-زيت-الضرو-للشعر/,http://www.naturallivingideas.com/essential-oils-for-hair/,2,external,403
https://weziwezi.com/فوائد-خل-التفاح-للبشرة/,https://weziwezi.com/index.php?title=%D8%B9%D9%84%D8%A7%D8%AC-%D8%A7%D9%84%D8%A5%D9%83%D8%B2%D9%8A%D9%85%D8%A7/&action=edit&redlink=1,بالإكزيما,internal,404
https://weziwezi.com/أفضل-الفواكه-الصيفية-لبشرة-نقية/,https://www.livescience.com/45487-pineapple-nutrition.html,"""Pineapple: Health Benefits, Risks & Nutrition Facts""",external,403
https://weziwezi.com/العلاقة-بين-نقص-فيتامين-د-وتساقط-الشعر/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2835491/,2,external,403
https://weziwezi.com/فوائد-البطيخ-للبشرة/,https://www.livescience.com/46019-watermelon-nutrition.html,"""Watermelon: Health Benefits, Risks & Nutrition Facts""",external,403
https://weziwezi.com/طرق-العناية-بالوجه-قبل-النوم/,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/skin-care/art-20048237,Skin care: 5 tips for healthy skin,external,403
https://weziwezi.com/الأضرار-الصحية-المترتبة-على-تسمير-البشرة/,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/sunless-tanning/art-20046803,"""Adult health""",external,403
https://weziwezi.com/فوائد-زيت-الأرغان-للبشرة/,http://www.naturallivingideas.com/11-reasons-to-put-argan-oil-on-your-face/,1 ,external,403
https://weziwezi.com/كيفية_استخدام_زيت_البرافين_للشعر,https://www.sciencedirect.com/topics/engineering/paraffin-oil,"""Learn more about Paraffin Oil""",external,403
https://weziwezi.com/فيتامين-ك-و-علامات-التقدم-بالسن/,https://weziwezi.com/ما-هو-هيدروكينون/," ما هو هيدروكينون",internal,404
https://weziwezi.com/فوائد-التقشير-الكريستالي/,https://shizukany.com/2013/09/crystal-peel-microdermabrasion-vs-chemical-peel-which-ones-right-for-you/,1,external,403
https://weziwezi.com/أعراض-التهاب-فروة-الرأس/,https://www.mayoclinic.org/diseases-conditions/folliculitis/diagnosis-treatment/drc-20361662,Folliculitis,external,403
https://weziwezi.com/فوائد-الكركم-للبشرة/,https://www.sciencedirect.com/science/article/pii/S2214750015300652,Dietary supplementation of ginger and turmeric improves reproductive function in hypertensive male rats,external,403
https://weziwezi.com/إزالة-حب-الشباب-بالوصفات-المنزلية/,https://www.mayoclinic.org/diseases-conditions/acne/expert-answers/natural-acne-treatment/faq-20057915,"Natural acne treatment: What""s most effective?",external,403
https://weziwezi.com/طريقة_عمل_شمع_البرافين_لليدين,https://www.sciencedirect.com/topics/engineering/paraffin-wax,"""Paraffin Wax""",external,403
