parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/علاج-الأعصاب-المشدودة/,https://www.mayoclinic.org/healthy-lifestyle/stress-management/basics/stress-relief/hlv-20049495,Stress relief,external,403
https://weziwezi.com/أعراض-ارتفاع-كريات-الدم-الحمراء/,https://www.mayoclinic.org/symptoms/high-red-blood-cell-count/basics/definition/sym-20050858,High red blood cell count,external,403
https://weziwezi.com/أعراض-سرطان-الكبد-الحميد/,https://www.mayoclinic.org/diseases-conditions/liver-hemangioma/diagnosis-treatment/drc-20354239,Liver hemangioma,external,403
https://weziwezi.com/طرق-علاج-جلطة-الساق/,https://www.mayoclinic.org/diseases-conditions/deep-vein-thrombosis/diagnosis-treatment/drc-20352563,Deep vein thrombosis (DVT),external,403
https://weziwezi.com/أسباب-الصداع-وألم-الرقبة-المزمن/,https://weziwezi.com/index.php?title=%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86-%D8%AD%D9%85%D9%89-%D8%A7%D9%84%D9%82%D8%B4/&action=edit&redlink=1,حمى,internal,404
https://weziwezi.com/علاج-ضعف-المناعة/,https://www.mayoclinic.org/diseases-conditions/primary-immunodeficiency/diagnosis-treatment/drc-20376910,"""Primary immunodeficiency""",external,403
https://weziwezi.com/عملية-شد-الرقبة-وترهلاتها/,https://www.mayoclinic.org/tests-procedures/neck-lift/about/pac-20384583,Neck lift,external,403
https://weziwezi.com/ما-هو-الاستجماتيزم/,https://www.mayoclinic.org/diseases-conditions/astigmatism/symptoms-causes/syc-20353835,Astigmatism,external,403
https://weziwezi.com/علاج-ارتفاع-ضغط-الدم-بالفيتامينات/,https://health.clevelandclinic.org/high-blood-pressure-dont-take-vitamin-d-for-it-video/,High Blood Pressure? Don’t Take Vitamin D for It (Video),external,403
https://weziwezi.com/طريقة-علاج-فطريات-الفم/,https://www.mayoclinic.org/diseases-conditions/oral-thrush/diagnosis-treatment/drc-20353539,Oral thrush,external,403
https://weziwezi.com/إسعافات-أولية-للإغماء/,https://www.mayoclinic.org/first-aid/first-aid-fainting/basics/art-20056606,Fainting,external,403
https://weziwezi.com/معلومات-عن-مرض-القبلة/,https://www.mayoclinic.org/diseases-conditions/mononucleosis/diagnosis-treatment/drc-20350333,Mononucleosis,external,403
https://weziwezi.com/علاج-تصلب-الشرايين/,http://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/diagnosis-treatment/treatment/txc-20167054,1,external,403
https://weziwezi.com/مضاعفات-كسر-عظمة-الترقوة-وطرق-علاجه/,https://www.mayoclinic.org/diseases-conditions/broken-collarbone/symptoms-causes/syc-20370311,Broken collarbone,external,403
https://weziwezi.com/مرض-الوهم-والتخيلات-وكيفية-علاجه/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3835525/,"Delusions in Individuals with Schizophrenia: Factor Structure, Clinical Correlates, and Putative Neurobiology",external,403
https://weziwezi.com/أعراض-ثقب-طبلة-الأذن/,https://www.mayoclinic.org/diseases-conditions/ruptured-eardrum/diagnosis-treatment/drc-20351884,Ruptured eardrum(perforated eardrum),external,403
https://weziwezi.com/ما-هي-قرحة-المعدة/,https://weziwezi.com/index.php?title=%D8%A3%D8%B9%D8%B1%D8%A7%D8%B6-%D9%82%D8%B1%D8%AD%D8%A9-%D8%A7%D9%84%D8%A5%D8%AB%D9%86%D9%89-%D8%B9%D8%B4%D8%B1_/&action=edit&redlink=1,قرحة الاثني عشر,internal,404
https://weziwezi.com/ما-هي-وظيفة-الطحال-في-الجسم/,https://www.livescience.com/44725-spleen.html,1,external,403
https://weziwezi.com/علاج-الالتهابات-عند-الحامل-بالأعشاب/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2867842/,2,external,403
https://weziwezi.com/سرطان-الليمفوما-بالمنطقة-الهامشية/,https://www.cancertherapyadvisor.com/hematology/marginal-zone-lymphoma/article/597823/,Marginal zone lymphoma,external,403
https://weziwezi.com/علاج-نقص-بروتين-الفيريتين/,http://www.pharmaceutical-journal.com/news-and-analysis/features/fresh-evidence-points-to-a-cause-and-possible-treatments-for-chronic-fatigue-syndrome/20201439.article,1,external,504
https://weziwezi.com/ما-بعد-جرعة-الكيماوي-الأولى/,https://www.mayoclinic.org/tests-procedures/chemotherapy/about/pac-20385033,Chemotherapy,external,403
https://weziwezi.com/أسباب-ظهور-بقعة-دم-في-بياض-العين/,https://www.mayoclinic.org/symptoms/red-eye/basics/definition/sym-20050748,Red eye,external,403
https://weziwezi.com/أعراض-نقص-الصفائح-الدموية-عند-الرجال/,https://www.mayoclinic.org/diseases-conditions/thrombocytopenia/diagnosis-treatment/drc-20378298,Thrombocytopenia low platelet count,external,403
https://weziwezi.com/معلومات-عن-جراحات-السمنة/,https://www.mayoclinic.org/tests-procedures/gastric-bypass-surgery/in-depth/weight-loss-surgery/art-20045334,Guide to types of weight-loss surgery,external,403
https://weziwezi.com/معدل-الضغط-الطبيعي-للجسم/,https://www.livescience.com/42219-blood-pressure.html,"Blood Pressure: Highs, Lows & What""s Normal",external,403
https://weziwezi.com/أعراض-سرطان-العمود-الفقري/,https://www.mayoclinic.org/diseases-conditions/spinal-cord-tumor/diagnosis-treatment/drc-20350108,Spinal Cord Tumors,external,403
https://weziwezi.com/ما-هو-لين-العظام/,https://www.mayoclinic.org/diseases-conditions/osteomalacia/symptoms-causes/syc-20355514,"Osteomalacia,",external,403
https://weziwezi.com/أفضل-علاج-لنقص-فيتامين-د/,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/expert-answers/vitamin-d-deficiency/faq-20058397,What are the risks of vitamin D deficiency?,external,403
https://weziwezi.com/أسباب-سرطان-الثدي/,http://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/dxc-20207918,2,external,403
https://weziwezi.com/علاج-دوالي-الخصية/,https://www.mayoclinic.org/diseases-conditions/varicocele/diagnosis-treatment/drc-20378772,Varicocele,external,403
https://weziwezi.com/أعراض-التهاب-المجاري-البولية-والرمل/,http://www.sci-info-pages.com/uti.html,2,external,403
https://weziwezi.com/تعريف-التنفس/,https://www.sciencedirect.com/topics/neuroscience/mechanical-ventilation,Mechanical ventilation,external,403
https://weziwezi.com/أسباب-وأعراض-مرض-الكساح/,https://www.mayoclinic.org/diseases-conditions/rickets/diagnosis-treatment/drc-20351949,"Rickets,",external,403
https://weziwezi.com/الوقاية-من-تسمم-الدم/,https://www.mayoclinic.org/diseases-conditions/sepsis/diagnosis-treatment/drc-20351219,Sepsis,external,403
https://weziwezi.com/طريقة-علاج-التهاب-المسالك-البولية/,http://www.mayoclinic.org/diseases-conditions/urinary-tract-infection/basics/treatment/con-20037892,1,external,403
https://weziwezi.com/تشخيص-سرطان-الجلد/,https://www.mayoclinic.org/diseases-conditions/skin-cancer/symptoms-causes/syc-20377605,"Skin cancer,",external,403
https://weziwezi.com/أعراض-نقص-فيتامين-ه/,http://www.umm.edu/health/medical/altmed/supplement/vitamin-e,1,external,404
https://weziwezi.com/علاج-فيروس-زيكا/,https://www.mayoclinic.org/diseases-conditions/zika-virus/diagnosis-treatment/drc-20353645,Zika virus,external,403
https://weziwezi.com/الكرفس-لعلاج-السكر/,http://www.tandurust.com/diabetes/celery-and-diabetes.html,2,external,403
