parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/أنواع-المواد-الحافظة-وأضرارها/,http://www.foodadditivesworld.com/preservatives.html,2,external,406
https://weziwezi.com/تعريف-محو-الأمية/,https://weziwezi.com/index.php?title=%D9%85%D8%B8%D8%A7%D9%87%D8%B1_%D8%A7%D9%84%D9%86%D9%85%D9%88_%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D8%BA%D8%B1%D8%A7%D9%81%D9%8A&action=edit&redlink=1,والزيادة السكانية,internal,404
https://weziwezi.com/أنواع-الدهون/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,مستوى الكوليسترول الضار,internal,404
https://weziwezi.com/معلومات-عن-ظاهرة-الاقتراب-من-الموت/,http://www.hospicenet.org/html/preparing_for.html,1    ,external,404
https://weziwezi.com/طرق-علاج-التنمر/,https://weziwezi.com/index.php?title=%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86--%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC-%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A/&action=edit&redlink=1," العلاج النفسي",internal,404
https://weziwezi.com/معلومات-عن-الأوبئة/,https://www.sciencedirect.com/science/article/pii/S1755436517301135,Modelling the global spread of diseases: A review of current practice and capability,external,403
https://weziwezi.com/تعريف-محو-الأمية/,https://weziwezi.com/index.php?title=%D9%85%D8%A7_%D8%A7%D9%84%D9%81%D8%B1%D9%82_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86_%D9%88%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85&action=edit&redlink=1,الإعلام الآلي,internal,404
https://weziwezi.com/أنواع-الدهون/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,أمراض القلب والشرايين,internal,404
https://weziwezi.com/مفهوم-الجودة-في-التعليم/,http://en.unesco.org/world-education-forum-2015/5-key-themes/quality-education,2,external,404
https://weziwezi.com/معلومات-عن-الأوبئة/,https://www.livescience.com/62549-pandemic-pathogens.html,"Here""s What the Next Pandemic Pathogen Might Look Like",external,403
https://weziwezi.com/كيفية-استخراج-اللؤلؤ-من-المحار/,http://www.pearls.com/blogs/news/15236297-ten-things-you-didnt-know-about-pearls,2,external,404
https://weziwezi.com/نبذة-عن-خليل-السكاكيني/,http://alqudslana.com/index.php?action=article&id=2761,خليل السكاكيني (1878- 1953),external,406
https://weziwezi.com/أسباب-تفاوت-الذكاء-من-شخص-لآخر/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2529190/,2,external,403
https://weziwezi.com/كيفية-قراءة-الفنجان/,https://weziwezi.com/index.php?title=%D9%85%D9%81%D9%87%D9%88%D9%85-%D8%A7%D9%84%D8%BA%D9%8A%D8%A8-%D9%84%D8%BA%D8%A9-%D9%88%D8%A7%D8%B5%D8%B7%D9%84%D8%A7%D8%AD%D8%A7%D9%8B/&action=edit&redlink=1,علم الغيب,internal,404
https://weziwezi.com/نبذة-عن-حياة-الرئيس-فرانسوا-ميتران/,http://www.biography.com/people/fran%C3%A7ois-mitterrand-9410764,2,external,404
https://weziwezi.com/تعريف-محو-الأمية/,https://weziwezi.com/index.php?title=%D9%85%D9%81%D9%87%D9%88%D9%85_%D8%A7%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9&action=edit&redlink=1,التنمية البشرية,internal,404
https://weziwezi.com/أنواع-الدهون/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,للسكري,internal,404
https://weziwezi.com/علامات-الذهب-الروماني/,http://onlygold.com/Info/History-Of-Gold.asp,1,external,403
https://weziwezi.com/أسباب-الانتحار-ودوافعه/,https://www.mayoclinic.org/diseases-conditions/suicide/symptoms-causes/syc-20378048,Causes,external,403
https://weziwezi.com/كيفية-قراءة-الفنجان/,https://weziwezi.com/index.php?title=%D9%85%D9%81%D9%87%D9%88%D9%85-%D8%A7%D9%84%D8%BA%D9%8A%D8%A8-%D9%84%D8%BA%D8%A9-%D9%88%D8%A7%D8%B5%D8%B7%D9%84%D8%A7%D8%AD%D8%A7%D9%8B/&action=edit&redlink=1,يعلم الغيب,internal,404
