parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/معلومات-عن-نبات-الدروسيرا/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,لعلاج السعال الديكي,internal,404
https://weziwezi.com/معلومات-عن-نبات-الدروسيرا/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,الرئة والربو,internal,404
https://weziwezi.com/فوائد-الكمأة/,https://www.bbcgoodfood.com/howto/guide/what-do-truffles-taste,What do truffles taste like?,external,403
https://weziwezi.com/أخطر-أنواع-الأفاعي/,http://listverse.com/2011/03/30/top-10-most-venomous-snakes/,1     ,external,403
https://weziwezi.com/فائدة-البلوط-لتضييق-المهبل/,http://intivar.greenliveforever.com/oak_gall_vaginal_tightening.html,1,external,412
https://weziwezi.com/عشبة-العلندة-لعلاج-السرطان/,https://weziwezi.com/index.php?title=%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86-%D8%AD%D9%85%D9%89-%D8%A7%D9%84%D9%82%D8%B4/&action=edit&redlink=1,حمى القشّ,internal,404
https://weziwezi.com/فوائد-زيت-الأفوكادو/,http://www.naturallivingideas.com/avocado-oil-benefits/,1,external,403
https://weziwezi.com/أنواع-قطط-الشيرازي/,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%82%D8%B7%D8%A9_%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D8%B3%D9%8A%D8%A9_%D8%A7%D9%84%D8%B4%D9%86%D8%B4%D9%8A%D9%84%D8%A7_%D8%A7%D9%84%D9%82%D8%B7%D8%A9_%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%D8%A9,البيكي فيس,external,404
https://weziwezi.com/معلومات-عن-نبات-الدروسيرا/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,وأدوية السعال,internal,404
https://weziwezi.com/استخدامات-عشبة-عباءة-السيدة-الطبية/,https://chestnutherbs.com/the-top-ten-medicinal-herbs-for-the-garden/,1,external,403
https://weziwezi.com/معلومات-عن-تربية-كلاب-الهاسكي/,http://dogtime.com/dog-breeds/siberian-husky#/slide/10,1,external,503
https://weziwezi.com/فائدة-البلوط-لتضييق-المهبل/,http://podoteko.com/health/herbal/manjakani-tighten-vaginal-muscles/,2,external,404
https://weziwezi.com/فوائد-الكزبرة-المطحونة/,http://vkool.com/benefits-of-coriander-seeds/,"Benefits Of Coriander Seeds For Skin, Hair & Health",external,403
https://weziwezi.com/كيفية-طرد-الناموس/,http://www.naturallivingideas.com/13-natural-ways-to-keep-mosquitoes-away/,1   ,external,403
https://weziwezi.com/فوائد-الشيح-للمهبل/,http://natural-fertility-info.com/vagina-steam.html,2,external,403
https://weziwezi.com/أفضل-أنواع-السمك-للشوي/,http://www.thekitchn.com/the-5-best-fish-for-grilling-tips-from-the-kitchn-205308,1 ,external,403
https://weziwezi.com/لماذا_سميت_الثدييات_بهذا_الاسم,https://study.com/academy/lesson/mammals-traits-behavior-grouping.htm,"""Mammals: Traits, Behavior & Grouping""",external,404
https://weziwezi.com/أنواع-نباتات-آكلة-الحشرات/,http://listverse.com/2011/06/09/top-10-fascinating-carnivorous-plants/,1,external,403
https://weziwezi.com/فوائد-عشبة-البعيثران/,http://www.herbs2000.com/herbs/herbs_artemisia.htm,1,external,403
https://weziwezi.com/فوائد-الخزامى-للمهبل/,http://growyourgreenfamily.com/essential-oils-vagina-womens-issues/,2,external,406
https://weziwezi.com/فوائد-الكزبرة-المطحونة/,http://vkool.com/benefits-of-coriander-seeds/,"Benefits Of Coriander Seeds For Skin, Hair & Health 8 ",external,403
https://weziwezi.com/ما-هي-الألوفيرا/,https://weziwezi.com/index.php?title=%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86-%D8%A7%D9%84%D8%B7%D9%81%D8%AD-%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A-2/&action=edit&redlink=1,الطفح الجلدي,internal,404
https://weziwezi.com/فائدة-زيت-اللوز-الحلو-للشفايف/,http://healthyhairtotoe.com/2014/11/07/12-benefits-of-sweet-almond-oil/,2,external,406
https://weziwezi.com/لماذا_سميت_الثدييات_بهذا_الاسم,https://www.livescience.com/57971-mammals-that-have-been-cloned.html,"""8 Mammals That Have Been Cloned Since Dolly the Sheep""",external,403
