parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/أهداف_إطلاق_عملة_الفيسبوك,https://economictimes.indiatimes.com/industry/miscellaneous/behind-libra-facebooks-new-digital-currency/getting-started/slideshow/69853613.cms,"""Behind Libra, Facebook's new digital currency""",external,404
https://weziwezi.com/طرق-استثمار-المال/,https://www.udemy.com/courses/marketing/,Marketing,external,403
https://weziwezi.com/معلومات-عن-تخصص-المحاسبة/,https://www.accountingverse.com/accounting-basics/accounting-cycle.html,The Accounting Cycle: 9-Step Accounting Process,external,406
https://weziwezi.com/ما-هو-اقتصاد-الريع/,https://www.jstor.org/stable/pdf/2485785.pdf,Rent in Modern Economic Theory,external,420
https://weziwezi.com/ما-هي-الضرائب/,http://www.economicsdiscussion.net/government/taxation/taxation-objectives-top-6-objectives-of-taxation-discussed/17450,Taxation Objectives: Top 6 Objectives of Taxation – Discussed,external,403
https://weziwezi.com/صفات-رائد-الأعمال/,https://www.udemy.com/entrepreneurship-skills-psychology-to-be-an-entrepreneur/,Entrepreneurship Qualities For First-Time Entrepreneurs,external,403
https://weziwezi.com/ما-هو-اقتصاد-الريع/,http://www.economicsdiscussion.net/rent/rent-definition-and-types-of-rents/7461,Types of Rent,external,403
https://weziwezi.com/طرق-زيادة-المبيعات/,https://socialmediaexplorer.com/content-sections/tools-and-tips/how-increase-sales-with-social-media-marketing-strategies/,How To Increase Your Sales With Social Media Marketing,external,403
https://weziwezi.com/تعريف-النظام-المحاسبي/,https://financesonline.com/accounting-software-useful-look-importance-businesses-organizations/,Reasons Why Accounting Software is Useful,external,403
https://weziwezi.com/مهام-المدير-المالي/,https://www.udemy.com/financialanalysis/,Chief Financial Officer Leadership Program,external,403
https://weziwezi.com/معلومات-عن-شركة-أرامكو-السعودية/,http://www.aramco.jobs/AboutSaudiAramco/OurStory.aspx,2,external,404
https://weziwezi.com/تعريف-المحاسبة-الإلكترونية/,https://www.sciencedirect.com/science/article/pii/S1877042814054007?via%3Dihub,Role of technology in accounting and e-accounting,external,403
https://weziwezi.com/ما-هي-تجارة-العملات/,https://www.udemy.com/forex-trading/,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,external,403
