parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/فوائد-البطاطا-المسلوقة-للحامل/,https://weziwezi.com/index.php?title=%D9%86%D8%B8%D8%B1%D8%A9-%D8%B9%D9%86-%D9%82%D8%B1%D8%A8:--%D8%A7%D9%84%D8%AA%D8%B4%D9%88%D9%87%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D9%84%D9%82%D9%8A%D8%A9-%D8%B9%D9%86%D8%AF-%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84-%D8%A7%D9%84%D8%AC%D8%B2%D8%A1-%D8%A7%D9%84%D8%A3%D9%88%D9%84/&action=edit&redlink=1,للتشوهات الخلفية,internal,404
https://weziwezi.com/أسباب-إجهاض-الحمل-في-الأسبوع-الأول/,https://americanpregnancy.org/pregnancy-complications/miscarriage/,للجمعية الأمريكية للحوامل,external,403
https://weziwezi.com/إفرازات-الحمل-قبل-الدورة/,https://www.mayoclinic.org/healthy-lifestyle/getting-pregnant/basics/pregnancy-symptoms/hlv-20049462,Getting pregnant,external,403
https://weziwezi.com/أضرار-حمض-الفوليك-قبل-الحمل/,https://www.health24.com/Medical/Meds-and-you/Medication/Folic-acid-20130927,Folic acid,external,404
https://weziwezi.com/الجدول-الصيني-للحمل-بولد/,https://weziwezi.com/index.php?title=%D9%82%D8%A7%D9%84%D8%A8:%D9%88%D9%8A%D8%B9%D9%84%D9%85_%D9%85%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D8%A3%D8%B1%D8%AD%D8%A7%D9%85&action=edit&redlink=1,قالب:ويعلم ما في الأرحام,internal,404
https://weziwezi.com/علاج-نزلات-البرد-عند-الأطفال/,https://www.mayoclinic.org/diseases-conditions/common-cold-in-babies/symptoms-causes/syc-20351651,Common cold in babies,external,403
https://weziwezi.com/فوائد-إكليل-الجبل-للحمل/,http://americanpregnancy.org/pregnancy-health/herbs-and-pregnancy/,1,external,403
https://weziwezi.com/الدوفاستون-لتثبيت-الحمل/,https://www.practo.com/medicine-info/dydrogesterone-1427-api,Dydrogesterone,external,403
https://weziwezi.com/أسباب-ارتفاع-الصفائح-الدموية-عند-الأطفال/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3971071/,1,external,403
https://weziwezi.com/متاعب-الشهر-الثامن-من-الحمل/,http://americanpregnancy.org/pregnancy-health/headaches-and-pregnancy/,"Headaches During Pregnancy: Causes And Treatment,",external,403
https://weziwezi.com/طريقة-علاج-البواسير-للحامل/,https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/expert-answers/hemorrhoids-during-pregnancy/faq-20058149,What can I do to treat hemorrhoids during pregnancy?,external,403
https://weziwezi.com/أضرار-إزالة-الشعر-بالليزر-على-الحامل/,http://americanpregnancy.org/pregnancy-health/hair-removal-and-pregnancy/,1,external,403
https://weziwezi.com/علاج-نزلات-البرد-عند-الأطفال/,https://www.mayoclinic.org/diseases-conditions/common-cold/diagnosis-treatment/drc-20351611,Common cold,external,403
https://weziwezi.com/الحمل-في-الشهر-الثالث-والجماع/,https://www.mayoclinic.org/fertilization/img-20006429,Fertilization,external,403
https://weziwezi.com/الدوفاستون-لتثبيت-الحمل/,https://www.practo.com/medicine-info/duphaston-tablet-45731,Duphaston Tablet,external,403
https://weziwezi.com/علاج-التسنين-عند-الأطفال-بالأعشاب/,https://www.mamanatural.com/6-natural-teething-remedies/,2,external,403
https://weziwezi.com/أهمية_لقاح_شلل_الأطفال,https://www.mayoclinic.org/drugs-supplements/poliovirus-vaccine-inactivated-injection-route/description/drg-20069860,"""Poliovirus Vaccine، Inactivated (Injection Route)""",external,403
https://weziwezi.com/أهمية-تطعيم-الأطفال/,https://www.vaccines.gov/more_info/features/five-important-reasons-to-vaccinate-your-child.html,1,external,404
https://weziwezi.com/متاعب-الشهر-الثامن-من-الحمل/,https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/prenatal-care/art-20045660,"Prenatal care: 3rd trimester visits,",external,403
https://weziwezi.com/الوزن-الطبيعي-للجنين-في-الشهر-الخامس/,https://weziwezi.com/index.php?title=%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9-%D9%84%D8%AD%D8%B1%D9%82%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%AF%D8%A9-%D9%88/&action=edit&redlink=1,حرقة من المعدة,internal,404
https://weziwezi.com/غذاء-الطفل-في-الشهر-الخامس/,http://wholesomebabyfood.momtastic.com/solidfood4to6montholdbaby.htm,1 ,external,503
