parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/فوائد-الخوخ-للجنس/,http://relationships.femalefirst.co.uk/health/peaches-and-sex-life-575419.html,1,external,404
https://weziwezi.com/كيفية-علاج-الدودة-الشريطية/,https://www.mayoclinic.org/diseases-conditions/tapeworm/symptoms-causes/syc-20378174,Causes,external,403
https://weziwezi.com/العلاقة-بين-استئصال-الغدة-الدرقية-وزيادة-الوزن/,https://www.mayoclinic.org/tests-procedures/thyroidectomy/about/pac-20385195,Thyroidectomy,external,403
https://weziwezi.com/الأعراض-الجانبية-للكورتيزون/,https://www.mayoclinic.org/tests-procedures/cortisone-shots/about/pac-20384794,Cortisone shots,external,403
https://weziwezi.com/فوائد-الزبيب-الأسود-للجنس/,https://weziwezi.com/index.php?title=%D9%81%D9%88%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%A8%D8%A7%D8%A8%D9%88%D9%86%D8%AC_%D9%84%D9%84%D8%AC%D9%86%D8%B3&action=edit&redlink=1,"فوائد البابونج للجنس
",internal,404
https://weziwezi.com/أضرار-خزعة-الكلى/,https://www.mayoclinic.org/tests-procedures/kidney-biopsy/about/pac-20394494,"Kidney biopsy,",external,403
https://weziwezi.com/أعراض-ضعف-الأعصاب/,https://weziwezi.com/index.php?title=category%D8%A3%D9%85%D8%B1%D8%A7%D8%B6-%D9%88-%D8%B9%D9%84%D8%A7%D8%AC%D8%A7%D8%AA%D8%A7%D9%84%D8%AC%D9%87%D8%A7%D8%B2-%D8%A7%D9%84%D8%B9%D8%B5%D8%A8%D9%8A-2/&action=edit&redlink=1,الجهاز العصبي,internal,404
https://weziwezi.com/وظائف-الغدة-الكظرية/,https://www.mayoclinic.org/diseases-conditions/congenital-adrenal-hyperplasia/symptoms-causes/syc-20355205,congenital adrenal hyperplasia,external,403
https://weziwezi.com/أضرار-خزعة-الكبد-للأطفال/,https://www.mayoclinic.org/tests-procedures/liver-biopsy/about/pac-20394576,Liver biopsy,external,403
https://weziwezi.com/أسباب-نقص-المناعة-وعلاجها/,http://www.mayoclinic.org/diseases-conditions/primary-immunodeficiency/basics/causes/con-20031958,1 ,external,403
https://weziwezi.com/فوائد-الزبيب-الأسود-للجنس/,https://weziwezi.com/index.php?title=%D9%81%D9%88%D8%A7%D8%A6%D8%AF_%D8%A8%D8%B0%D9%88%D8%B1_%D8%A7%D9%84%D9%83%D8%B1%D9%81%D8%B3_%D9%84%D9%84%D8%AC%D9%86%D8%B3&action=edit&redlink=1,"فوائد بذور الكرفس للجنس
",internal,404
https://weziwezi.com/معلومات-عن-حبوب-باراسيتامول/,https://www.mayoclinic.org/drugs-supplements/acetaminophen-oral-route-rectal-route/description/drg-20068480,"Acetaminophen (Oral Route, Rectal Route)",external,403
https://weziwezi.com/معلومات-عن-اضطراب-الغدة-النخامية/,https://www.livescience.com/58885-pituitary-gland.html,"""Pituitary Gland: Facts, Function & Disease""",external,403
https://weziwezi.com/ما-هو-نقي-العظام/,https://www.mayoclinic.org/diseases-conditions/poems-syndrome/symptoms-causes/syc-20352678,POEMS syndrome,external,403
https://weziwezi.com/معلومات-عن-بكتيريا-الإيكولاي/,https://www.sciencedaily.com/releases/2013/12/131202094326.htm,"Sorting good germs from bad, in bacterial world",external,403
https://weziwezi.com/كيفية-ممارسة-المشي-بشكل-صحيح/,https://www.mayoclinic.org/healthy-lifestyle/fitness/multimedia/proper-walking-technique/img-20007670,Proper walking technique,external,403
https://weziwezi.com/أعراض-الغدة-النكافية/,https://www.sciencedirect.com/topics/medicine-and-dentistry/parotid-gland,Parotid gland,external,403
https://weziwezi.com/طرق-منع-الحمل-بعد-القذف/,https://www.mayoclinic.org/tests-procedures/withdrawal-method/about/pac-20395283,Withdrawal method coitus interruptus,external,403
https://weziwezi.com/أنواع-فصائل-الدم/,https://weziwezi.com/index.php?title=%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86-%D9%81%D8%B5%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AF%D9%85-Ab/&action=edit&redlink=1,فصيلة الدم AB:,internal,404
https://weziwezi.com/معلومات-عن-عملية-انحناء-العمود-الفقري/,https://www.mayoclinic.org/diseases-conditions/scoliosis/diagnosis-treatment/drc-20350721,Scoliosis,external,403
https://weziwezi.com/مخاطر-عملية-النخاع-الشوكي/,https://www.mayoclinic.org/back-surgery/art-20048274,Back surgery: When is it a good idea?,external,403
https://weziwezi.com/معلومات-عن-مرض-لوبس/,https://www.mayoclinic.org/diseases-conditions/lupus/basics/symptoms/con-20019676,1,external,403
https://weziwezi.com/طرق-تشجع-على-اعتياد-ممارسة-الرياضة-صباحاً/,https://www.livescience.com/55317-exercise-types.html,The 4 Types of Exercise You Need to Be Healthy,external,403
https://weziwezi.com/فوائد-الزبيب-الأسود-للجنس/,https://weziwezi.com/index.php?title=%D9%81%D9%88%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%B1%D9%88%D8%B2%D9%85%D8%A7%D8%B1%D9%8A_%D9%84%D9%84%D8%AC%D9%86%D8%B3&action=edit&redlink=1,فوائد الروزماري للجنس,internal,404
https://weziwezi.com/فوائد-زيت-السمسم-للجماع/,http://vkool.com/benefits-of-sesame-oil/,"34 ""Benefits of sesame oil for hair, skin & health and its uses",external,403
https://weziwezi.com/معلومات-عن-اضطراب-الغدة-النخامية/,https://www.mayoclinic.org/diseases-conditions/pituitary-tumors/symptoms-causes/syc-20350548,"""Pituitary tumors""",external,403
https://weziwezi.com/أعراض-الحرارة-الداخلية/,https://www.mayoclinic.org/diseases-conditions/salmonella/symptoms-causes/syc-20355329,"Salmonella infection, ",external,403
https://weziwezi.com/ما-هي-حقن-بلازما-الدم/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,الخلايا الجذعية,internal,404
https://weziwezi.com/فوائد-البرتقال-للجنس/,http://www.care2.com/greenliving/13-health-benefits-of-oranges.html,2,external,403
https://weziwezi.com/أعراض-الغدة-النكافية/,https://www.mayoclinic.org/diseases-conditions/parotid-tumor/cdc-20388269,Salivary gland tumors,external,403
https://weziwezi.com/دواعي-جراحة-العمود-الفقري/,https://www.mayoclinic.org/back-surgery/art-20048274,Back surgery: When is it a good idea?,external,403
https://weziwezi.com/أعراض-جفاف-الجسم/,https://www.mayoclinic.org/diseases-conditions/dry-skin/symptoms-causes/syc-20353885,1,external,403
https://weziwezi.com/ما-هو-الهيستامين؟/,https://weziwezi.com/index.php?title=%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86-%D8%AD%D9%85%D9%89-%D8%A7%D9%84%D9%82%D8%B4/&action=edit&redlink=1,حمى القش,internal,404
