parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/فوائد-الكيوي-للرجيم/,http://www.care2.com/greenliving/14-healthy-reasons-to-eat-kiwi.html,1,external,403
https://weziwezi.com/أطعمة-تخفض-الكوليسترول/,https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/symptoms-causes/syc-20350800,High cholesterol,external,403
https://weziwezi.com/طرق-علاج-النحافة-الشديدة/,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/expert-answers/underweight/faq-20058429,"Nutrition and healthy eating,",external,403
https://weziwezi.com/أضرار-زيادة-فيتامين-ج/,https://www.mayoclinic.org/drugs-supplements-vitamin-c/art-20363932,1,external,403
https://weziwezi.com/تقوية-جهاز-المناعة-بالأغذية/,https://www.livescience.com/26579-immune-system.html,"Immune System: Diseases, Disorders & Function",external,403
https://weziwezi.com/أضرار-المانجو-على-الكلى/,http://www.kidney-healthy.com/ckd-stage-3-diet/281.html,2,external,404
https://weziwezi.com/طرق-علاج-السمنة/,https://www.mayoclinic.org/diseases-conditions/obesity/diagnosis-treatment/drc-20375749,1,external,403
https://weziwezi.com/أين-يوجد-البروبيوتيك-؟/,https://weziwezi.com/index.php?title=%D8%B9%D9%84%D8%A7%D8%AC-%D8%A7%D9%84%D8%A5%D9%83%D8%B2%D9%8A%D9%85%D8%A7-%D9%86%D9%87%D8%A7%D8%A6%D9%8A%D9%8B%D9%91%D8%A7/&action=edit&redlink=1,للأكزيما,internal,404
https://weziwezi.com/أعراض-نقص-فيتامين-B2/,https://www.livescience.com/51966-vitamin-b2-riboflavin.html,"Vitamin B2 (Riboflavin): Sources, Benefits and Dosage",external,403
https://weziwezi.com/فوائد-قشر-البيض-للعظام/,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/bone-health/art-20045060,"""Adult health""",external,403
https://weziwezi.com/أضرار-فيتامين-B3/,https://www.livescience.com/51825-niacin-benefits.html,Niacin (Vitamin B3): Benefits & Side Effects,external,403
https://weziwezi.com/فوائد-فيتامين-C/,https://www.mayoclinic.org/drugs-supplements-vitamin-c/art-20363932,Vitamin C,external,403
https://weziwezi.com/فوائد-الذرة-للرجيم/,http://vkool.com/benefits-of-corn/,1,external,403
https://weziwezi.com/أطعمة-أغنى-من-البرتقال-بفيتامين-C/,https://www.mayoclinic.org/drugs-supplements-vitamin-c/art-20363932,Vitamin C,external,403
https://weziwezi.com/فوائد-المياه-المعدنية/,https://weziwezi.com/index.php?title=%D8%B7%D8%B1%D9%82-%D8%AE%D9%81%D8%B6-%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%B9%D9%86-%D8%B6%D8%BA%D8%B7-%D8%A7%D9%84%D8%AF%D9%85-%D8%A7%D9%84%D9%85%D8%B1%D8%AA%D9%81%D8%B9/&action=edit&redlink=1,معلومات عن ضغط الدم المرتفع,internal,404
https://weziwezi.com/معلومات-عن-فيتامين-ب-المركب/,https://weziwezi.com/index.php?title=url/&action=edit&redlink=1,سوء التغذية,internal,404
https://weziwezi.com/أسباب-السمنة-المفرطة/,https://www.mayoclinic.org/tests-procedures/bariatric-surgery/about/pac-20394258,Bariatric surgery,external,403
https://weziwezi.com/فوائد-فيتامين-B-للشعر/,https://weziwezi.com/index.php?title=%D8%AD%D9%85%D8%B6-%D8%A7%D9%84%D9%81%D9%88%D9%84%D9%8A%D9%83%22-%D9%81%D9%88%D8%A7%D8%A6%D8%AF-%D9%88-%D8%A3%D8%B9%D8%B1%D8%A7%D8%B6-%D9%86%D9%82%D8%B5-%D8%AD%D9%85%D8%B6-%D8%A7%D9%84%D9%81%D9%88%D9%84%D9%8A%D9%83%22/&action=edit&redlink=1,وحمض الفوليك,internal,404
https://weziwezi.com/فوائد_النعناع_للمعدة,https://www.naturallivingideas.com/21-ways-to-use-mint/,"""21 Out Of The Ordinary Ways To Use Fresh Mint Leaves""",external,403
https://weziwezi.com/أضرار-فيتامين-B9/,https://weziwezi.com/index.php?title=%D8%AD%D9%85%D8%B6-%D8%A7%D9%84%D9%81%D9%88%D9%84%D9%8A%D9%83%22-%D9%81%D9%88%D8%A7%D8%A6%D8%AF-%D9%88-%D8%A3%D8%B9%D8%B1%D8%A7%D8%B6-%D9%86%D9%82%D8%B5-%D8%AD%D9%85%D8%B6-%D8%A7%D9%84%D9%81%D9%88%D9%84%D9%8A%D9%83%22/&action=edit&redlink=1,بحمض الفوليك,internal,404
https://weziwezi.com/مشروبات-للتخسيس-قبل-النوم/,https://www.mayoclinic.org/healthy-lifestyle/weight-loss/basics/weightloss-basics/hlv-20049483,Weight-loss basics,external,403
https://weziwezi.com/فوائد-الخس-للرجيم/,http://www.care2.com/greenliving/10-powerful-advantages-of-eating-lettuce.html,1,external,403
https://weziwezi.com/مصادر-فيتامين-C/,https://www.livescience.com/51827-vitamin-c.html,Vitamin C: Sources & Benefits,external,403
